# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000146316     	-3.95139887e-04
0.000146771     	-3.95139887e-04
0.000147226     	-3.95139887e-04
0.000147685     	-3.95139887e-04
0.000148148     	-3.95139887e-04
0.000148611     	-3.95139887e-04
0.000149078     	-3.95139887e-04
0.00014955      	-3.95139887e-04
0.000150026     	-3.95139887e-04
0.000150506     	-3.95139887e-04
0.000150991     	-3.95139887e-04
0.000151481     	-3.95139887e-04
0.000151977     	-3.95139887e-04
0.000152472     	-3.95139887e-04
0.000152962     	-3.95139887e-04
0.000153447     	-3.95139886e-04
0.000153926     	-3.95139886e-04
0.000154401     	-3.95139886e-04
0.000154872     	-3.95139886e-04
0.000155342     	-3.95139886e-04
0.000155807     	-3.95139886e-04
0.000156272     	-3.95139886e-04
0.000156732     	-3.95139886e-04
0.000157193     	-3.95139886e-04
0.000157648     	-3.95139886e-04
0.000158103     	-3.95139886e-04
0.000158559     	-3.95139886e-04
0.000159014     	-3.95139886e-04
0.000159465     	-3.95139886e-04
0.000159915     	-3.95139886e-04
0.000160365     	-3.95139886e-04
0.000160816     	-3.95139886e-04
0.000161266     	-3.95139886e-04
0.000161717     	-3.95139886e-04
0.000162167     	-3.95139886e-04
0.000162617     	-3.95139886e-04
0.000163068     	-3.95139886e-04
0.000163518     	-3.95139886e-04
0.000163968     	-3.95139886e-04
0.000164425     	-3.95139886e-04
0.000164881     	-3.95139886e-04
0.000165337     	-3.95139886e-04
0.000165793     	-3.95139886e-04
0.000166255     	-3.95139886e-04
0.000166717     	-3.95139886e-04
0.00016718      	-3.95139886e-04
0.000167649     	-3.95139886e-04
0.000168117     	-3.95139886e-04
0.000168593     	-3.95139886e-04
0.000169069     	-3.95139886e-04
0.000169552     	-3.95139886e-04
0.000170043     	-3.95139886e-04
0.000170535     	-3.95139886e-04
0.000171034     	-3.95139886e-04
0.000171533     	-3.95139886e-04
0.000172042     	-3.95139886e-04
0.000172559     	-3.95139886e-04
0.000173077     	-3.95139886e-04
0.000173605     	-3.95139886e-04
0.000174133     	-3.95139886e-04
0.000174661     	-3.95139886e-04
